"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",1359.42633651261,-0.790170351676026,0.248071522771772,-3.18525215166672,0.00144627930896724,0.00391623296994213
"ENSG00000000005",28.6264157271148,-0.512972313203989,0.913940967843269,-0.561275105562351,0.574610009617962,0.664751024204568
"ENSG00000000419",945.129822218943,0.408815041099646,0.156660458196099,2.60956112223234,0.00906584487601829,0.0199002811023496
"ENSG00000000457",339.032320477142,-0.139602042031176,0.124783753747169,-1.11875174322798,0.263246063962996,0.358693316569681
"ENSG00000000460",189.395142534718,1.34673663896251,0.231248574931774,5.82376189500776,5.75375350680099e-09,5.14674055529133e-08
"ENSG00000000938",437.783558863543,2.28380021429817,0.459040007695564,4.97516594634772,6.5191767352175e-07,3.79333484720325e-06
"ENSG00000000971",3025.40272390116,-1.07757642491127,0.366785957945772,-2.93788898284536,0.00330455333254169,0.00815454502782751
"ENSG00000001036",1240.92595774812,-0.140992310775159,0.146546108748728,-0.962102044052964,0.335998347449055,0.437216938559657
"ENSG00000001084",547.644019546755,0.636572759422999,0.165923658629123,3.83654003704127,0.000124779861413405,0.000435029825588763
"ENSG00000001167",557.239903220213,-0.0868419723150406,0.158725503218913,-0.547120472475483,0.584295968178969,0.672874521876747
"ENSG00000001460",152.068345347804,-0.452140796278432,0.207138686382117,-2.1827926215789,0.0290510852927335,0.0552690419503777
"ENSG00000001461",657.943234236047,0.0918836479669667,0.212854621043578,0.431673259036999,0.665978905395413,0.742443293337031
"ENSG00000001497",768.494597758109,-0.359953837543845,0.129912897731304,-2.77073211228287,0.00559304208789214,0.012996493877155
"ENSG00000001561",421.291796895392,1.40692996395509,0.22366897648637,6.2902329418082,3.16989941269446e-10,3.76077806712502e-09
"ENSG00000001617",1297.09506836254,2.09092501664233,0.352813473124021,5.92643188517728,3.0958771290054e-09,2.94930309520535e-08
"ENSG00000001626",120.142526010806,3.3917767859479,0.777281709766801,4.36363900414625,1.27916597035784e-05,5.5781167576077e-05
"ENSG00000001629",1173.27933562336,0.550978378577634,0.176818502440925,3.1160674418771,0.00183280350403627,0.00481292695806843
"ENSG00000001630",995.569420677652,-0.974151896790371,0.209799489881475,-4.64325197997722,3.42967642557005e-06,1.68897046344902e-05
"ENSG00000001631",691.248851812388,-0.152363345238977,0.201236499402306,-0.757135736765014,0.448968545853188,0.549677926283423
"ENSG00000002016",268.012624794116,0.381487951207826,0.244833056628979,1.55815540785383,0.119196412751651,0.184508857284146
"ENSG00000002330",933.16374472674,-0.217206778016021,0.180545243954944,-1.2030600931821,0.228953066848359,0.319852262433352
"ENSG00000002549",2388.38591863356,1.26435166168678,0.229709643153314,5.50412966704632,3.70996427061491e-08,2.80049052845945e-07
"ENSG00000002586",4558.9761296615,-0.806319357967502,0.231800742886389,-3.47850204415738,0.000504224592101128,0.00153053372390469
"ENSG00000002587",460.100556756226,-3.37824303163907,0.413286652000839,-8.1740917962969,2.98102796132107e-16,1.20725343344977e-14
"ENSG00000002726",319.870519142169,5.11146203309488,0.671648315950757,7.61032509380942,2.73407335502491e-14,7.71812825339091e-13
"ENSG00000002745",7.73230943937526,0.700810960738848,0.625211147380901,1.12091885065493,0.26232240609968,0.357637848543285
"ENSG00000002746",51.4535991251237,-0.11160535223838,0.304072153143774,-0.367035754785509,0.71359234794115,0.781347865236186
"ENSG00000002822",597.304910705699,0.123907558111285,0.149281220459715,0.830027767255043,0.406523084537482,0.508411466992964
"ENSG00000002834",4367.82556957619,0.0925397186935129,0.136096717281306,0.679955553242608,0.496532604388753,0.594152320205971
"ENSG00000002919",429.282909555196,0.389877153330481,0.133984316253253,2.90987157477109,0.0036157729738997,0.0088418315932457
"ENSG00000002933",1031.06054776643,-0.932881291554204,0.353163224653554,-2.64150179416144,0.00825393699914458,0.018355256561119
"ENSG00000003056",2627.94182480994,0.393733540023424,0.150044131619377,2.62411822291206,0.00868736249704019,0.0191615087318377
"ENSG00000003096",68.3809356690119,-2.42375399527141,0.442640293926124,-5.47567410497864,4.35849185866935e-08,3.24285308988437e-07
"ENSG00000003137",161.466635770384,-1.08344105822067,0.395561509371318,-2.73899515638574,0.00616272813611646,0.0141439178982415
"ENSG00000003147",403.989607583814,1.19556736692406,0.261700246494557,4.56846098900761,4.91318490164381e-06,2.33103058259898e-05
"ENSG00000003249",309.537173825251,0.914583978342769,0.361304058937272,2.53134155490225,0.0113627141331772,0.0242758664997741
"ENSG00000003393",520.207414699087,0.500482671064832,0.150745028353434,3.32006087717472,0.000899978205312901,0.00256168173623761
"ENSG00000003400",554.022256436785,1.77065005458943,0.230467676962503,7.68285634639134,1.55580019574326e-14,4.63025434999808e-13
"ENSG00000003402",3272.6254672905,0.596753422102391,0.149352694216002,3.99559864142347,6.45309807758855e-05,0.000239925761567674
"ENSG00000003436",391.795591283814,-1.13158872008773,0.380162526453208,-2.97659196093071,0.00291471653046338,0.00728242854598138
"ENSG00000003509",320.636020924071,0.282818622160616,0.154433166253766,1.83133344359389,0.0670507887930115,0.112973487375638
"ENSG00000003756",2564.04482069188,-0.183992976880746,0.180155088085353,-1.02130324952895,0.307110787342907,0.40608634305623
"ENSG00000003987",53.2262958176658,-0.378994136430609,0.33507773248407,-1.13106333154689,0.258028436454181,0.352957489693485
"ENSG00000003989",969.290214734187,-2.72229940653826,0.489597062568244,-5.56028541563972,2.69333821132807e-08,2.09161485322989e-07
"ENSG00000004059",3110.74908404444,0.362881400771193,0.175890444255324,2.06311037707331,0.0391021424757474,0.0712351453890526
"ENSG00000004139",363.334424078795,-0.492032361135423,0.188935080953184,-2.60424034887064,0.00920781600249753,0.0201704023717839
