"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000000003",1359.42633651261,-0.837963826009445,0.267010920696024,0.000913166925964929,0.00217649560549536
"ENSG00000000005",28.6264157271148,-0.84455024037661,0.833043687519205,9.25110448238938e-06,3.16467638947924e-05
"ENSG00000000419",945.129822218943,0.475799754951586,0.173115089145946,0.0053356231458454,0.0108887931581523
"ENSG00000000457",339.032320477142,-0.441299106985408,0.139981470315133,0.00150760939298632,0.00344936680236668
"ENSG00000000460",189.395142534718,1.05019533775458,0.259592532093043,2.30383518269142e-05,7.32641599260037e-05
"ENSG00000000938",437.783558863543,3.47402299551774,0.528045889295613,1.34860779659545e-12,1.36785405311364e-11
"ENSG00000000971",3025.40272390116,-2.22693642659106,0.404705231940554,9.50672896347305e-09,5.22595332038316e-08
"ENSG00000001036",1240.92595774812,-0.270729444495588,0.162071996128372,0.0900621751043048,0.135520772981319
"ENSG00000001084",547.644019546755,0.239401250560765,0.183334183509472,0.188776677106103,0.257096223301008
"ENSG00000001167",557.239903220213,-0.757184645949408,0.176403762368133,1.16710357793836e-05,3.9088085787367e-05
"ENSG00000001460",152.068345347804,-1.01014486721939,0.231454399006425,8.6152853124662e-06,2.95831951470534e-05
"ENSG00000001461",657.943234236047,-0.405456798639094,0.231461392801638,0.0677433509525183,0.10539085938091
"ENSG00000001497",768.494597758109,-0.344415360112443,0.144258448473022,0.0159897899539547,0.0292804048386602
"ENSG00000001561",421.291796895392,0.973889240918836,0.250383427847212,5.03645085280535e-05,0.000150483183694458
"ENSG00000001617",1297.09506836254,1.71986287705054,0.397644960415097,3.22606508538053e-06,1.19178220163031e-05
"ENSG00000001626",120.142526010806,2.33284042770171,0.989740620594537,0.000827114333860854,0.00198203748038578
"ENSG00000001629",1173.27933562336,-0.0854463284717734,0.192992267097114,0.0401470200619211,0.0662460660709432
"ENSG00000001630",995.569420677652,-0.965786792684856,0.230667067784047,1.57116389603686e-05,5.142201600746e-05
"ENSG00000001631",691.248851812388,-0.948161962584434,0.2219457053147,1.13150817358867e-05,3.80234725470963e-05
"ENSG00000002016",268.012624794116,-0.441565301214721,0.265697255687298,0.0884369251168001,0.133336390722302
"ENSG00000002330",933.16374472674,0.703773559840889,0.199162847589684,0.000323659977753768,0.000835010129921263
"ENSG00000002549",2388.38591863356,1.28601870539599,0.255693864631947,2.10366365182969e-07,9.37773812292203e-07
"ENSG00000002586",4558.9761296615,-1.02563109810085,0.252121827708309,1.76833617983059e-05,5.72187975492492e-05
"ENSG00000002587",460.100556756226,-3.59665796102133,0.46003640921272,1.10139882774256e-15,1.76817009556646e-14
"ENSG00000002726",319.870519142169,5.64027614639338,0.764593004165035,3.46331831942888e-15,5.18874194728538e-14
"ENSG00000002745",7.73230943937526,0.3814885794179,0.604095077426027,0.958167478593183,0.967517580897181
"ENSG00000002746",51.4535991251237,-0.0139975725385505,0.324869719128703,0.987193751066758,0.990118843037075
"ENSG00000002822",597.304910705699,0.792319855539611,0.166115478694997,1.57247295844225e-06,6.11445822683997e-06
"ENSG00000002834",4367.82556957619,-0.119786556189021,0.149568616583146,0.417213193518377,0.499829915282274
"ENSG00000002919",429.282909555196,0.716897243589245,0.150630690681146,1.28791325827151e-06,5.07916976321888e-06
"ENSG00000002933",1031.06054776643,-0.477479810293093,0.368621911838013,0.159023946381482,0.221693386149215
"ENSG00000003056",2627.94182480994,0.23497971408338,0.165324322561407,0.149692900343038,0.210203692360485
"ENSG00000003096",68.3809356690119,-3.58106744764212,0.499109566243287,4.07711807346455e-13,4.46649067718928e-12
"ENSG00000003137",161.466635770384,-0.638069860580597,0.413263687470546,0.0955714042066211,0.142543428932818
"ENSG00000003147",403.989607583814,1.42431428720796,0.292975717174207,3.75917920711396e-07,1.61173396189937e-06
"ENSG00000003249",309.537173825251,1.04032503541409,0.40098695345017,0.00433466944707199,0.00901652781246483
"ENSG00000003393",520.207414699087,-0.201755814198681,0.167285125100882,0.215443046201091,0.287800205731236
"ENSG00000003400",554.022256436785,1.82593628503558,0.258899626387282,3.46155865591236e-13,3.82572152281272e-12
"ENSG00000003402",3272.6254672905,0.395228420423365,0.16438480785286,0.0148992606672399,0.0274472322824093
"ENSG00000003436",391.795591283814,-2.90522749857187,0.426145396260585,2.01890833832599e-12,1.99602071409448e-11
"ENSG00000003509",320.636020924071,0.210560257910105,0.17108269790906,0.220789225989548,0.293704231814911
"ENSG00000003756",2564.04482069188,-0.821250142476455,0.196038446958923,1.10134629303112e-05,3.71160763046313e-05
"ENSG00000003987",53.2262958176658,-1.09190612118955,0.371215860126945,0.00247032489049022,0.00540655982334029
"ENSG00000003989",969.290214734187,-3.08699242610137,0.537451507325438,2.36976777118295e-09,1.44907018243401e-08
"ENSG00000004059",3110.74908404444,1.30841045697445,0.194046749764978,1.06609168838396e-11,9.3792586382009e-11
"ENSG00000004139",363.334424078795,-0.855715691728067,0.210015873767296,2.83708490966389e-05,8.86966542437344e-05
"ENSG00000004142",1553.93839181494,0.171086923670728,0.120154832606709,0.152187209201961,0.213280350393239
"ENSG00000004399",2548.64987255827,0.816291343611855,0.293651894171979,0.0032817343491339,0.00700358160788129
"ENSG00000004455",2702.82522149117,0.993091417360017,0.209175982717479,1.14207900823925e-06,4.5389969897604e-06
"ENSG00000004468",178.01382598487,2.57245598961954,0.528603935423391,5.4825786431112e-08,2.67838987479388e-07
"ENSG00000004478",3776.38324174138,1.26469101352795,0.284040778795967,5.50073368079285e-06,1.95159268678476e-05
"ENSG00000004487",1983.11042388601,-0.261490839071515,0.188737219888313,0.139528337898774,0.197948457496371
"ENSG00000004534",2505.23490849666,-0.427593634744123,0.255173622030396,0.0724234733023731,0.111831318957268
"ENSG00000004660",280.696476742907,-0.138207981510056,0.255598454319032,0.560444769095089,0.636813978356737
"ENSG00000004700",771.330960637533,-0.288725991283502,0.175073524337091,0.0922109900061635,0.13829571052967
"ENSG00000004766",427.284292169702,-0.337860611415092,0.143325872473288,0.015902417089894,0.0291364377708507
"ENSG00000004776",1255.98604937002,-3.52535470908119,0.571198407220103,1.71269975972206e-10,1.23973638642295e-09
"ENSG00000004777",408.58724048787,-0.260733373833028,0.329648708845851,0.392783738134142,0.47558409326282
"ENSG00000004779",1102.77075652539,1.44278036261783,0.214318676060564,9.27149234016282e-12,8.24854274474335e-11
"ENSG00000004799",1569.33630821687,-2.06474228989963,0.474248256201858,3.50028523073592e-06,1.28523986657523e-05
"ENSG00000004809",6.99621406423472,0.958215338065724,0.685353270037088,0.0289457869495463,0.0495862335880416
"ENSG00000004838",136.574960896898,-0.363573831269744,0.384506366529278,0.320270099735529,0.401438157397743
"ENSG00000004846",63.7129274447025,0.928882314603453,0.283651228333209,0.000548843653128624,0.00135705789236495
"ENSG00000004848",516.549281405995,-12.0475882511504,1.64537886499229,3.72916433760271e-14,4.75575612939104e-13
"ENSG00000004864",613.829928375267,0.347458467925082,0.176331267659749,0.0474639736269215,0.0768653111663355
"ENSG00000004866",440.165598599111,-0.472791855115677,0.16257981281431,0.00277523561977826,0.00601391390653121
"ENSG00000004897",936.561967787002,-0.525460229918491,0.141979279025079,0.000159946031747441,0.000437453053961673
"ENSG00000004939",3.48271975938108,3.89006327336275,1.17097464568091,0.00230107014493952,0.00506778472260556
"ENSG00000004948",4.45748098197389,-0.314971082131054,0.595962197069377,0.998483013010678,0.998583016317105
"ENSG00000004961",327.889233284186,0.448220411950243,0.198158860927944,0.0208057062029532,0.0369967730904798
"ENSG00000004975",875.761574017126,-1.20023582561856,0.214731725248606,1.02121115055708e-08,5.57992007873474e-08
"ENSG00000005001",452.567303164933,2.76725320453834,0.632317901500776,7.48323810905474e-07,3.06238726910098e-06
"ENSG00000005007",2584.87818420221,-0.436386165450754,0.186583736916059,0.0127652682564474,0.0238703344896545
"ENSG00000005020",679.09642137479,-0.729406660774647,0.294916900436764,0.0097041832540206,0.0186833359458253
"ENSG00000005022",4193.846882646,1.24826722299906,0.211930593221707,4.08060986566603e-09,2.38425569418421e-08
"ENSG00000005059",460.543889355951,0.600949555733561,0.240743388077404,0.01100724815296,0.0209477561332918
"ENSG00000005073",10.246648497298,-2.30195316682577,0.710408649106266,0.00139870384617521,0.00321848968281123
"ENSG00000005075",1217.98124382113,0.720997663197678,0.185624328494199,0.00011031388458708,0.000310730407487811
"ENSG00000005100",462.124655465312,-0.221940556837122,0.211371275763551,0.264433373990642,0.341569038999231
"ENSG00000005102",246.479042880997,1.92415101055143,0.573258848963235,9.2781449797766e-05,0.000264478780175733
